compression_rank,threshold,metric,baseline_value,filter_value,improvement_percent
40,0.2000,time_saved,1.3092,113.8582,-8597.07
40,0.2000,ai_calls_reduction,5.0000,1.0000,80.00
40,0.2000,cpu_saved,0.0000,0.0000,0.00
40,0.2000,memory_saved,69.1063,74.1328,-7.27
40,0.2000,fps_improvement,3819.2533,43.9143,-98.85
50,0.0100,time_saved,1.3092,121.6943,-9195.63
50,0.0100,ai_calls_reduction,5.0000,2.0000,60.00
50,0.0100,cpu_saved,0.0000,0.0000,0.00
50,0.0100,memory_saved,69.1063,74.1891,-7.36
50,0.0100,fps_improvement,3819.2533,41.0865,-98.92
50,0.0500,time_saved,1.3092,134.7160,-10190.29
50,0.0500,ai_calls_reduction,5.0000,1.0000,80.00
50,0.0500,cpu_saved,0.0000,0.0000,0.00
50,0.0500,memory_saved,69.1063,74.2203,-7.40
50,0.0500,fps_improvement,3819.2533,37.1151,-99.03
50,0.1000,time_saved,1.3092,141.0863,-10676.89
50,0.1000,ai_calls_reduction,5.0000,1.0000,80.00
50,0.1000,cpu_saved,0.0000,0.0000,0.00
50,0.1000,memory_saved,69.1063,74.2711,-7.47
50,0.1000,fps_improvement,3819.2533,35.4393,-99.07
50,0.1500,time_saved,1.3092,127.0802,-9607.03
50,0.1500,ai_calls_reduction,5.0000,1.0000,80.00
50,0.1500,cpu_saved,0.0000,0.0000,0.00
50,0.1500,memory_saved,69.1063,74.2812,-7.49
50,0.1500,fps_improvement,3819.2533,39.3452,-98.97
50,0.2000,time_saved,1.3092,124.3355,-9397.38
50,0.2000,ai_calls_reduction,5.0000,1.0000,80.00
50,0.2000,cpu_saved,0.0000,0.0000,0.00
50,0.2000,memory_saved,69.1063,74.3109,-7.53
50,0.2000,fps_improvement,3819.2533,40.2138,-98.95
