frame_index,compression_rank,threshold,reconstruction_error,is_novel_predicted,is_novel_truth,gate_ms,ai_called,ai_infer_ms,ai_e2e_ms,cpu_percent,memory_mb,timestamp
52,10,0.0100,0.046037,0,0,38.6541,0,0.0000,38.6565,1086.70,388.62,1764816457.228798
53,10,0.0100,0.081414,1,0,37.3452,1,50.9510,88.3005,1083.70,388.62,1764816457.277625
54,10,0.0100,0.065958,1,0,35.5134,1,53.6237,89.1407,0.00,388.62,1764816457.376143
55,10,0.0100,0.064342,0,0,40.1256,0,0.0000,40.1285,155.30,388.62,1764816457.475469
56,10,0.0100,0.059831,0,0,39.3286,0,0.0000,39.3307,1083.70,388.62,1764816457.525752
57,10,0.0100,0.056296,0,1,36.1810,0,0.0000,36.1841,1066.70,388.62,1764816457.575264
58,10,0.0100,0.061641,0,1,36.4437,0,0.0000,36.4470,0.00,388.62,1764816457.621772
59,10,0.0100,0.050130,1,1,34.4944,1,46.8578,81.3563,1081.90,388.62,1764816457.669008
60,10,0.0100,0.063374,1,0,38.4686,1,49.3014,87.7743,1081.30,388.62,1764816457.760563
61,10,0.0100,0.056920,0,0,36.3562,0,0.0000,36.3598,620.70,388.62,1764816457.858660
62,10,0.0100,0.062304,0,0,38.2426,0,0.0000,38.2459,1076.80,388.62,1764816457.905189
63,10,0.0100,0.037763,1,0,36.3159,1,51.4753,87.7957,299.10,388.62,1764816457.953675
64,10,0.0100,0.100223,1,0,36.4003,1,48.5997,85.0039,0.00,388.62,1764816458.052001
65,10,0.0100,0.080593,1,0,35.8784,1,48.0750,83.9581,0.00,388.62,1764816458.147515
66,10,0.0100,0.075581,0,0,37.2500,0,0.0000,37.2527,0.00,388.62,1764816458.241609
67,10,0.0100,0.077908,0,0,35.6858,0,0.0000,35.6889,0.00,388.62,1764816458.289097
68,10,0.0100,0.059718,1,0,37.3883,1,45.8541,83.2472,0.00,388.62,1764816458.334940
69,10,0.0100,0.057751,0,0,38.5206,0,0.0000,38.5230,0.00,388.62,1764816458.428471
70,10,0.0100,0.072899,1,0,36.9561,1,48.7933,85.7532,776.40,388.62,1764816458.477105
71,10,0.0100,0.088271,1,0,36.5655,1,47.6243,84.1932,930.00,388.60,1764816458.573190
72,10,0.0100,0.063095,1,0,37.5526,1,49.5749,87.1322,1062.70,388.60,1764816458.667563
73,10,0.0100,0.050802,1,0,39.3083,1,50.3497,89.6609,0.00,388.60,1764816458.765064
74,10,0.0100,0.071453,1,0,37.5099,1,50.4346,87.9493,597.90,388.60,1764816458.864915
75,10,0.0100,0.054720,1,0,36.6371,1,48.8138,85.4552,1074.70,388.60,1764816458.963419
76,10,0.0100,0.132862,1,0,36.7310,1,50.5834,87.3184,1078.70,388.60,1764816459.059133
77,10,0.0100,0.104398,1,0,36.2399,1,50.2157,86.4601,1085.80,388.60,1764816459.156671
78,10,0.0100,0.104689,0,1,37.9941,0,0.0000,37.9977,0.00,388.60,1764816459.253312
79,10,0.0100,0.071113,1,1,35.7685,1,50.8211,86.5936,0.00,388.60,1764816459.301504
80,10,0.0100,0.078337,0,0,36.3011,0,0.0000,36.3040,0.00,388.60,1764816459.398339
81,10,0.0100,0.085403,1,0,37.2543,1,49.8483,87.1077,902.70,388.60,1764816459.445040
82,10,0.0100,0.096816,1,0,35.8927,1,48.4116,84.3084,1081.60,388.60,1764816459.542629
83,10,0.0100,0.063682,1,0,35.8865,1,50.7822,86.6728,1063.40,388.60,1764816459.637115
84,10,0.0100,0.070400,0,0,38.1768,0,0.0000,38.1794,1067.60,388.60,1764816459.734165
85,10,0.0100,0.070866,0,0,35.2473,0,0.0000,35.2504,1073.20,388.60,1764816459.782658
86,10,0.0100,0.046123,1,0,38.1742,1,46.8268,85.0055,1087.20,388.60,1764816459.828177
87,10,0.0100,0.053099,0,0,35.4891,0,0.0000,35.4936,1046.70,388.60,1764816459.923308
88,10,0.0100,0.057483,1,0,37.6253,1,51.1158,88.7454,0.00,388.60,1764816459.969331
89,10,0.0100,0.042420,1,0,38.6603,1,48.1834,86.8478,0.00,388.60,1764816460.068378
90,10,0.0100,0.049605,0,0,36.8609,0,0.0000,36.8643,0.00,388.60,1764816460.165410
91,10,0.0100,0.036368,0,0,37.5292,0,0.0000,37.5321,621.70,388.60,1764816460.212643
